id,name,balls_bowled,balls_faced,fielded,role
1,DA Warner,2,4849,97,batter
2,TS Mills,218,14,1,bowler
3,S Dhawan,49,5483,102,batter
4,A Choudhary,108,20,0,bowler
5,Mandeep Singh,12,1418,40,batter
6,MC Henriques,979,801,30,allrounder
7,YS Chahal,4143,89,34,bowler
8,S Aravind,788,59,5,bowler
9,SR Watson,2137,2892,44,allrounder
10,TM Head,58,934,6,batter
11,STR Binny,611,700,23,allrounder
12,Sachin Baby,10,123,6,batter
13,Yuvraj Singh,882,2207,37,allrounder
14,DJ Hooda,391,1213,63,allrounder
15,BCJ Cutting,288,146,12,bowler
16,CH Gayle,584,3516,30,allrounder
17,A Nehra,1974,63,18,bowler
18,B Kumar,4694,392,38,allrounder
19,Rashid Khan,3518,419,54,allrounder
20,KM Jadhav,0,1012,39,batter
21,Bipul Sharma,436,124,10,bowler
22,CJ Jordan,717,81,15,bowler
23,PA Patel,0,2442,95,batter
24,AB Dinda,1589,50,11,bowler
25,JC Buttler,0,3136,91,batter
26,DL Chahar,2127,93,14,bowler
27,BA Stokes,723,718,24,allrounder
28,Imran Tahir,1340,37,8,bowler
29,RG Sharma,349,5642,112,allrounder
30,N Rana,223,2314,31,allrounder
31,AT Rayudu,0,3490,75,batter
32,A Zampa,475,25,1,bowler
33,R Bhatia,1661,290,26,allrounder
34,KH Pandya,2720,1476,50,allrounder
35,MS Dhoni,0,4101,232,batter
36,KA Pollard,1586,2447,106,allrounder
37,HH Pandya,1852,2073,74,allrounder
38,MA Agarwal,0,2146,61,batter
39,TG Southee,1262,108,23,bowler
40,MJ McClenaghan,1346,73,2,bowler
41,AM Rahane,6,4332,93,batter
42,SPD Smith,2,1999,64,batter
43,JJ Bumrah,3767,89,19,bowler
44,JJ Roy,0,460,10,batter
45,TA Boult,2892,90,36,bowler
46,BB McCullum,0,2272,51,batter
47,PP Chawla,3895,580,44,allrounder
48,SP Narine,4682,1178,32,allrounder
49,YK Pathan,1184,2334,50,allrounder
50,SK Raina,930,4177,119,allrounder
51,CR Woakes,463,77,6,bowler
52,Kuldeep Yadav,2311,263,16,allrounder
53,AJ Finch,44,1696,32,batter
54,SA Yadav,6,3104,79,batter
55,KD Karthik,0,3687,199,batter
56,DR Smith,557,1803,43,allrounder
57,G Gambhir,0,3524,35,batter
58,P Kumar,2637,323,17,allrounder
59,CA Lynn,0,974,12,batter
60,DS Kulkarni,1876,113,19,bowler
61,MS Gony,925,76,5,bowler
62,S Kaushik,210,1,0,bowler
63,SB Jakati,1101,30,21,bowler
64,Sandeep Sharma,3295,79,20,bowler
65,MM Sharma,2471,140,28,bowler
66,AR Patel,3615,1608,81,allrounder
67,T Natarajan,1631,7,13,bowler
68,MP Stoinis,975,1588,26,allrounder
69,M Vohra,0,863,14,batter
70,Swapnil Singh,165,46,3,bowler
71,MK Tiwary,45,1489,50,batter
72,DT Christian,922,408,31,allrounder
73,GJ Maxwell,1047,1896,58,allrounder
74,HM Amla,0,418,0,batter
75,WP Saha,0,2368,131,batter
76,RD Chahar,1728,127,21,bowler
77,DA Miller,0,2420,96,batter
78,Z Khan,2276,141,24,bowler
79,CH Morris,1801,413,38,allrounder
80,PJ Cummins,1831,434,24,allrounder
81,SV Samson,0,3769,127,batter
82,S Nadeem,1444,88,15,bowler
