id,name,balls_bowled,balls_faced,fielded
1,DA Warner,2,4849,97
2,TS Mills,218,14,1
3,S Dhawan,49,5483,102
4,A Choudhary,108,20,0
5,Mandeep Singh,12,1418,40
6,MC Henriques,979,801,30
7,YS Chahal,4143,89,34
8,S Aravind,788,59,5
9,SR Watson,2137,2892,44
10,TM Head,58,934,6
11,STR Binny,611,700,23
12,Sachin Baby,10,123,6
13,Yuvraj Singh,882,2207,37
14,DJ Hooda,391,1213,63
15,BCJ Cutting,288,146,12
16,CH Gayle,584,3516,30
17,A Nehra,1974,63,18
18,B Kumar,4694,392,38
19,Rashid Khan,3518,419,54
20,KM Jadhav,0,1012,39
21,Bipul Sharma,436,124,10
22,CJ Jordan,717,81,15
23,PA Patel,0,2442,95
24,AB Dinda,1589,50,11
25,JC Buttler,0,3136,91
26,DL Chahar,2127,93,14
27,BA Stokes,723,718,24
28,Imran Tahir,1340,37,8
29,RG Sharma,349,5642,112
30,N Rana,223,2314,31
31,AT Rayudu,0,3490,75
32,A Zampa,475,25,1
33,R Bhatia,1661,290,26
34,KH Pandya,2720,1476,50
35,MS Dhoni,0,4101,232
36,KA Pollard,1586,2447,106
37,HH Pandya,1852,2073,74
38,MA Agarwal,0,2146,61
39,TG Southee,1262,108,23
40,MJ McClenaghan,1346,73,2
41,AM Rahane,6,4332,93
42,SPD Smith,2,1999,64
43,JJ Bumrah,3767,89,19
44,JJ Roy,0,460,10
45,TA Boult,2892,90,36
46,BB McCullum,0,2272,51
47,PP Chawla,3895,580,44
48,SP Narine,4682,1178,32
49,YK Pathan,1184,2334,50
50,SK Raina,930,4177,119
51,CR Woakes,463,77,6
52,Kuldeep Yadav,2311,263,16
53,AJ Finch,44,1696,32
54,SA Yadav,6,3104,79
55,KD Karthik,0,3687,199
56,DR Smith,557,1803,43
57,G Gambhir,0,3524,35
58,P Kumar,2637,323,17
59,CA Lynn,0,974,12
60,DS Kulkarni,1876,113,19
61,MS Gony,925,76,5
62,S Kaushik,210,1,0
63,SB Jakati,1101,30,21
64,Sandeep Sharma,3295,79,20
65,MM Sharma,2471,140,28
66,AR Patel,3615,1608,81
67,T Natarajan,1631,7,13
68,MP Stoinis,975,1588,26
69,M Vohra,0,863,14
70,Swapnil Singh,165,46,3
71,MK Tiwary,45,1489,50
72,DT Christian,922,408,31
73,GJ Maxwell,1047,1896,58
74,HM Amla,0,418,0
75,WP Saha,0,2368,131
76,RD Chahar,1728,127,21
77,DA Miller,0,2420,96
78,Z Khan,2276,141,24
79,CH Morris,1801,413,38
80,PJ Cummins,1831,434,24
81,SV Samson,0,3769,127
82,S Nadeem,1444,88,15
83,A Mishra,3444,440,28
84,RR Pant,0,2717,118
85,CR Brathwaite,266,120,7
86,SW Billings,0,399,21
87,Vishnu Vinod,0,66,3
88,P Negi,733,301,20
89,Iqbal Abdulla,943,86,15
90,AP Tare,0,285,9
91,B Stanlake,150,2,1
92,KK Nair,0,1332,36
93,V Shankar,258,985,38
94,NV Ojha,0,1360,82
95,Basil Thampi,539,37,5
96,Tejas Baroka,21,0,0
97,SL Malinga,2974,103,21
98,RV Uthappa,0,3927,133
99,MK Pandey,0,3355,101
100,Harbhajan Singh,3496,636,46
101,AS Rajpoot,567,41,4
102,R Dhawan,693,188,16
103,AB de Villiers,0,3487,141
104,VR Aaron,1065,73,4
105,CJ Anderson,315,436,11
106,F du Plessis,6,3605,91
107,RA Tripathi,6,1707,35
108,Mustafizur Rahman,1419,24,5
109,UT Yadav,3190,211,40
110,C de Grandhomme,230,229,7
111,I Sharma,2546,71,23
112,V Kohli,264,7048,143
113,S Badree,263,25,2
114,AJ Tye,714,79,7
115,RA Jadeja,4285,2759,124
116,Ankit Sharma,375,69,4
117,SN Thakur,2329,264,35
118,Ishan Kishan,1,2517,86
119,LH Ferguson,1148,49,11
120,KC Cariappa,224,21,2
121,EJG Morgan,0,1181,42
122,SS Iyer,6,3159,71
123,MM Patel,1382,41,13
124,AF Milne,238,33,7
125,JD Unadkat,2418,173,28
126,NM Coulter-Nile,892,75,12
127,AD Mathews,807,599,21
128,Mohammed Shami,3009,116,28
129,Mohammad Nabi,419,157,18
130,BB Sran,516,14,6
131,S Kaul,1238,36,8
132,J Yadav,398,38,7
133,KS Williamson,18,1734,41
134,Mohammed Siraj,2748,131,38
135,SE Marsh,0,1913,29
136,JP Faulkner,1287,406,21
137,Shakib Al Hasan,1515,665,18
138,K Rabada,2306,247,30
139,MG Johnson,1301,168,19
140,Washington Sundar,1174,630,20
141,SS Agarwal,24,0,0
142,NB Singh,25,0,0
143,AD Nath,0,99,2
144,KV Sharma,1611,307,20
145,DM Bravo,0,5,0
146,Ankit Soni,112,9,1
147,SP Jackson,0,57,10
148,AR Bawne,0,12,0
149,Anureet Singh,430,47,6
150,MJ Guptill,0,197,7
151,IK Pathan,2113,985,34
152,PJ Sangwan,905,47,10
153,R Powell,21,357,25
154,MN Samuels,219,174,2
155,LMP Simmons,18,878,11
156,Gurkeerat Singh,82,436,21
157,R Tewatia,866,933,49
158,MJ Henry,166,10,1
159,SS Tiwary,0,1291,29
160,R Vinay Kumar,2186,289,39
161,J Suchith,434,62,19
162,Avesh Khan,1840,46,13
163,HV Patel,2630,250,31
164,IR Jaggi,0,100,2
165,E Lewis,0,499,9
166,MA Wood,127,10,3
167,DJ Bravo,3296,1247,81
168,M Markande,768,44,8
169,C Munro,12,144,4
170,R Ashwin,4868,728,47
171,Mujeeb Ur Rahman,465,15,2
172,KL Rahul,0,4270,99
173,Q de Kock,0,2618,96
174,AD Russell,1885,1626,38
175,SN Khan,2,556,18
176,RK Singh,0,999,53
177,K Khejroliya,148,0,1
178,DJM Short,18,102,2
179,K Gowtham,599,159,21
180,S Gopal,1000,173,5
181,B Laughlin,179,13,1
182,TK Curran,252,108,2
183,Shivam Mavi,687,58,17
184,A Dananjaya,25,5,0
185,Shubman Gill,0,3226,55
186,M Vijay,37,2208,49
187,JP Duminy,701,1680,33
188,H Klaasen,0,1282,47
189,RK Bhui,0,27,0
190,JC Archer,1584,208,14
191,LE Plunkett,154,3,2
192,PP Shaw,0,1321,18
193,AD Hales,0,119,2
194,IS Sodhi,182,18,0
195,MK Lomror,94,389,12
196,M Ashwin,898,50,7
197,L Ngidi,623,9,1
198,KM Asif,143,2,1
199,DJ Willey,221,64,4
200,DR Shorey,0,20,6
201,M Prasidh Krishna,1775,24,16
202,MM Ali,869,865,24
203,SP Goswami,0,307,28
204,P Chopra,0,6,1
205,JPR Scantlebury-Searles,45,6,4
206,Abhishek Sharma,374,1445,30
207,S Lamichhane,211,1,1
208,CJ Dala,19,0,0
209,KK Ahmed,1741,9,7
210,SO Hetmyer,0,1110,51
211,S Dube,156,1536,26
212,Navdeep Saini,716,38,8
213,JM Bairstow,0,1181,36
214,Rasikh Salam,444,43,4
215,CA Ingram,0,183,1
216,KMA Paul,180,26,6
