id,name,balls_bowled,balls_faced,role
170,R Ashwin,4868,728,allrounder
18,B Kumar,4694,392,allrounder
48,SP Narine,4682,1178,allrounder
115,RA Jadeja,4285,2759,allrounder
7,YS Chahal,4143,89,bowler
47,PP Chawla,3895,580,allrounder
43,JJ Bumrah,3767,89,bowler
66,AR Patel,3615,1608,allrounder
19,Rashid Khan,3518,419,allrounder
100,Harbhajan Singh,3496,636,allrounder
83,A Mishra,3444,440,allrounder
167,DJ Bravo,3296,1247,allrounder
64,Sandeep Sharma,3295,79,bowler
109,UT Yadav,3190,211,allrounder
128,Mohammed Shami,3009,116,bowler
97,SL Malinga,2974,103,bowler
45,TA Boult,2892,90,bowler
134,Mohammed Siraj,2748,131,bowler
34,KH Pandya,2720,1476,allrounder
58,P Kumar,2637,323,allrounder
163,HV Patel,2630,250,allrounder
111,I Sharma,2546,71,bowler
65,MM Sharma,2471,140,bowler
125,JD Unadkat,2418,173,bowler
117,SN Thakur,2329,264,allrounder
52,Kuldeep Yadav,2311,263,allrounder
138,K Rabada,2306,247,allrounder
237,DW Steyn,2282,163,bowler
78,Z Khan,2276,141,bowler
160,R Vinay Kumar,2186,289,allrounder
235,Arshdeep Singh,2145,49,bowler
9,SR Watson,2137,2892,allrounder
219,CV Varun,2136,51,bowler
26,DL Chahar,2127,93,bowler
151,IK Pathan,2113,985,allrounder
17,A Nehra,1974,63,bowler
565,PP Ojha,1945,45,bowler
174,AD Russell,1885,1626,allrounder
60,DS Kulkarni,1876,113,bowler
564,RP Singh,1874,78,bowler
248,Ravi Bishnoi,1857,71,bowler
37,HH Pandya,1852,2073,allrounder
162,Avesh Khan,1840,46,bowler
80,PJ Cummins,1831,434,allrounder
586,JA Morkel,1807,712,allrounder
79,CH Morris,1801,413,allrounder
508,JH Kallis,1799,2291,allrounder
201,M Prasidh Krishna,1775,24,bowler
209,KK Ahmed,1741,9,bowler
76,RD Chahar,1728,127,bowler
659,M Morkel,1699,93,bowler
33,R Bhatia,1661,290,allrounder
67,T Natarajan,1631,7,bowler
144,KV Sharma,1611,307,allrounder
24,AB Dinda,1589,50,bowler
36,KA Pollard,1586,2447,allrounder
190,JC Archer,1584,208,allrounder
531,M Muralitharan,1581,30,bowler
607,L Balaji,1574,50,bowler
546,SK Trivedi,1557,61,bowler
137,Shakib Al Hasan,1515,665,allrounder
82,S Nadeem,1444,88,bowler
108,Mustafizur Rahman,1419,24,bowler
123,MM Patel,1382,41,bowler
40,MJ McClenaghan,1346,73,bowler
28,Imran Tahir,1340,37,bowler
218,SM Curran,1308,761,allrounder
139,MG Johnson,1301,168,bowler
136,JP Faulkner,1287,406,allrounder
39,TG Southee,1262,108,bowler
400,MA Starc,1246,122,bowler
131,S Kaul,1238,36,bowler
545,SK Warne,1223,219,allrounder
253,JO Holder,1212,264,allrounder
49,YK Pathan,1184,2334,allrounder
517,M Kartik,1182,109,bowler
257,TU Deshpande,1176,38,bowler
140,Washington Sundar,1174,630,allrounder
249,A Nortje,1169,52,bowler
119,LH Ferguson,1148,49,bowler
267,JR Hazlewood,1137,31,bowler
375,Noor Ahmad,1122,54,bowler
63,SB Jakati,1101,30,bowler
104,VR Aaron,1065,73,bowler
274,M Jansen,1056,186,bowler
73,GJ Maxwell,1047,1896,allrounder
180,S Gopal,1000,173,bowler
580,A Kumble,983,49,bowler
6,MC Henriques,979,801,allrounder
68,MP Stoinis,975,1588,allrounder
523,S Sreesanth,947,57,bowler
89,Iqbal Abdulla,943,86,bowler
696,R Sharma,935,77,bowler
318,VG Arora,931,28,bowler
50,SK Raina,930,4177,allrounder
61,MS Gony,925,76,bowler
72,DT Christian,922,408,allrounder
327,Yash Dayal,920,9,bowler
521,B Lee,916,102,bowler
152,PJ Sangwan,905,47,bowler
322,M Theekshana,902,34,bowler
196,M Ashwin,898,50,bowler
126,NM Coulter-Nile,892,75,bowler
13,Yuvraj Singh,882,2207,allrounder
352,Mukesh Kumar,879,20,bowler
239,Harpreet Brar,875,217,allrounder
202,MM Ali,869,865,allrounder
157,R Tewatia,866,933,allrounder
657,RJ Harris,865,112,bowler
516,AB Agarkar,820,160,bowler
289,PWH de Silva,808,95,bowler
127,AD Mathews,807,599,allrounder
364,Suyash Sharma,803,0,bowler
343,M Pathirana,797,0,bowler
8,S Aravind,788,59,bowler
543,DL Vettori,785,118,bowler
759,P Awana,774,14,bowler
168,M Markande,768,44,bowler
367,WD Parnell,758,86,bowler
88,P Negi,733,301,allrounder
261,Kartik Tyagi,726,25,bowler
27,BA Stokes,723,718,allrounder
22,CJ Jordan,717,81,bowler
212,Navdeep Saini,716,38,bowler
