id,name,balls_bowled,balls_faced,fielded
164,IR Jaggi,0,100,2
461,Urvil Patel,0,100,7
143,AD Nath,0,99,2
451,Suryansh Shedge,19,97,4
551,PR Shah,0,97,14
739,AC Blizzard,0,91,4
647,AA Bilakhia,0,88,1
747,S Rana,16,82,3
601,Misbah-ul-Haq,0,82,1
473,S Arora,0,81,3
260,JR Philippe,0,80,0
567,Kamran Akmal,0,78,9
577,RR Sarwan,0,78,1
737,M Klinger,0,78,0
773,AP Majumdar,0,77,0
282,RV Patel,20,76,3
346,PN Mankad,0,75,6
609,A Chopra,0,75,3
466,Himmat Singh,0,74,2
751,RE Levi,0,74,2
484,PR Veer,12,72,0
655,LA Carseldine,7,71,4
673,Anirudh Singh,0,69,3
384,SK Rasheed,0,67,2
640,Yashpal Singh,0,67,3
87,Vishnu Vinod,0,66,3
713,AG Paunikar,0,61,2
736,TR Birt,0,59,0
147,SP Jackson,0,57,10
432,T Kohler-Cadmore,0,54,1
699,KB Arun Karthik,0,53,14
221,NS Naik,0,53,3
388,Vivrant Sharma,21,49,0
390,MD Shanaka,25,46,3
299,TL Seifert,0,44,5
693,AB Barath,0,43,0
561,AS Yadav,0,40,2
710,B Sumanth,0,38,4
711,S Sriram,18,38,0
548,L Ronchi,0,37,4
795,BR Dunk,0,36,4
554,S Chanderpaul,0,33,0
425,AA Kulkarni,0,32,0
421,Tanush Kotian,0,32,1
236,AJ Turner,0,31,0
333,B Indrajith,0,31,2
723,Sunny Singh,0,31,1
501,N Sindhu,0,30,3
729,TD Paine,0,29,0
265,AT Carey,0,29,2
189,RK Bhui,0,27,0
502,Akshat Raghuwanshi,0,27,1
779,BMAJ Mendis,30,27,3
598,LPC Silva,6,27,4
287,DJ Malan,0,26,1
690,DR Martyn,0,26,0
280,Virat Singh,0,26,2
610,T Taibu,0,26,1
398,Sumit Kumar,22,26,3
797,VH Zol,0,26,0
223,P Ray Barman,24,25,0
340,KS Sharma,0,25,0
324,HE van der Dussen,0,25,1
611,J Arunkumar,0,24,0
608,CK Kapugedera,17,24,4
624,A Mukund,0,23,4
733,NL McCullum,30,23,1
368,YV Dhull,0,23,3
250,T Banton,0,22,0
391,Sanvir Singh,0,22,3
574,MA Khote,30,22,0
793,NJ Maddinson,0,21,1
500,R Smaran,0,21,1
417,Kumar Kushagra,0,21,2
712,C Madan,0,21,0
535,T Kohli,0,20,5
436,R Minz,0,20,0
200,DR Shorey,0,20,6
541,DS Lehmann,0,19,0
745,Y Gnaneswara Rao,6,18,2
786,X Thalaivan Sargunam,0,17,0
639,R Bishnoi,0,17,1
470,Sediqullah Atal,0,16,0
497,SU Parakh,0,16,1
415,Saurav Chauhan,0,16,0
653,GR Napier,24,16,0
389,JE Root,12,15,2
789,UA Birla,0,15,1
429,Gulbadin Naib,6,15,1
812,ER Dwivedi,0,15,2
605,DT Patil,0,13,2
778,MDKJ Perera,0,13,0
230,SD Lad,0,13,0
811,F Behardien,0,13,1
467,MP Breetzke,0,12,0
445,PWA Mulder,6,12,1
808,PSP Handscomb,0,12,0
671,Mohammad Ashraful,0,12,2
507,AA Noffke,25,12,0
148,AR Bawne,0,12,0
469,BKG Mendis,0,11,1
584,TM Srivastava,0,11,4
731,BJ Haddin,0,11,0
754,DAJ Bracewell,25,9,2
648,AN Ghosh,0,8,1
684,RS Gavaskar,6,8,0
345,A Tomar,0,8,0
489,LG Pretorius,0,8,0
618,Younis Khan,0,7,1
670,SS Shaikh,0,7,2
204,P Chopra,0,6,1
145,DM Bravo,0,5,0
184,A Dananjaya,25,5,0
622,H Das,0,5,0
493,DV Malewar,0,5,0
418,BR Sharath,0,5,1
460,KS Rathore,0,5,0
444,MS Bhandage,0,4,2
377,Liton Das,0,4,0
740,I Malhotra,6,4,0
468,Musheer Khan,12,3,0
433,Shivam Singh,0,3,2
344,R Sanjay Yadav,14,2,0
758,RR Bhatkal,12,2,1
366,Mohit Rathee,12,2,0
621,Abdur Razzak,14,2,0
664,Mashrafe Mortaza,28,2,1
496,Ravi Singh,0,2,1
709,RS Sodhi,0,2,2
463,MJ Owen,0,2,2
437,PVSN Raju,29,1,1
232,JL Denly,0,1,0
604,U Kaul,0,1,3
724,NJ Rimmington,18,1,0
776,Sunny Gupta,19,1,0
381,Abdul Basith,0,1,0
272,Monu Kumar,16,0,0
283,Jalaj S Saxena,18,0,0
281,LI Meriwala,19,0,0
234,Milind Kumar,0,0,1
268,CJ Green,17,0,1
208,CJ Dala,19,0,0
96,Tejas Baroka,21,0,0
141,SS Agarwal,24,0,0
142,NB Singh,25,0,0
229,S Midhun,13,0,1
300,IC Porel,26,0,0
387,R Goyal,24,0,1
385,Sonu Yadav,0,0,1
382,Gurnoor Brar,21,0,0
374,D Jansen,28,0,2
498,RS Ghosh,18,0,1
495,D Madushanka,28,0,2
505,SS Mishra,30,0,0
491,Mayank Rawat,0,0,0
394,H Sharma,30,0,0
431,V Kaverappa,24,0,0
395,Subhransu Senapati,0,0,1
399,Tanay Thyagarajan,0,0,2
503,BJ Dwarshuis,26,0,1
422,S Joseph,30,0,0
